# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,elliptic,24,matchedz,3.881319e-07,1.547043e-06,8.868860e+09
constfilt,elliptic,25,matchedz,5.497674e-06,1.114188e-05,1.352586e+12
constfilt,elliptic,2,prewarp,9.992007e-16,2.664535e-15,3.441691e-15
constfilt,elliptic,3,prewarp,1.318390e-16,2.220446e-15,5.329071e-15
constfilt,elliptic,4,prewarp,1.023487e-16,4.440892e-15,1.598721e-14
constfilt,elliptic,5,prewarp,2.185752e-16,1.243450e-14,9.547918e-14
constfilt,elliptic,6,prewarp,3.885781e-16,2.664535e-14,5.014877e-13
constfilt,elliptic,7,prewarp,1.054712e-15,4.973799e-14,6.281198e-12
constfilt,elliptic,8,prewarp,4.820797e-15,8.881784e-14,5.048462e-11
constfilt,elliptic,9,prewarp,1.169204e-15,3.268497e-13,5.126465e-10
constfilt,elliptic,10,prewarp,3.119727e-14,3.552714e-13,1.924255e-08
constfilt,elliptic,11,prewarp,1.354472e-14,1.193712e-12,7.235366e-08
constfilt,elliptic,12,prewarp,3.717027e-13,1.250555e-12,2.039038e-06
constfilt,elliptic,13,prewarp,1.653282e+02,8.132370e+02,1.363363e+44
constfilt,elliptic,14,prewarp,2.913998e+02,1.439777e+03,9.533618e+21
constfilt,elliptic,15,prewarp,5.673251e+02,2.715854e+03,2.211453e+13
constfilt,elliptic,16,prewarp,9.830666e+02,4.864388e+03,1.022521e+11
constfilt,elliptic,17,prewarp,1.987473e+03,9.261579e+03,1.205900e+13
constfilt,elliptic,18,prewarp,3.538572e+03,1.669944e+04,2.243152e+15
constfilt,elliptic,19,prewarp,7.026235e+03,3.182562e+04,1.215921e+17
constfilt,elliptic,20,prewarp,1.288172e+04,5.812232e+04,2.595680e+03
constfilt,elliptic,21,prewarp,2.504815e+04,1.100422e+05,5.197614e+04
constfilt,elliptic,22,prewarp,4.703172e+04,2.031888e+05,1.743823e+06
constfilt,elliptic,23,prewarp,8.997060e+04,3.824531e+05,3.498619e+07
constfilt,elliptic,24,prewarp,1.723034e+05,7.130811e+05,4.608167e+09
constfilt,elliptic,25,prewarp,3.253526e+05,1.335048e+06,1.148343e+11
constfilt,elliptic,2,matchedz_sos,n/a,n/a,3.674838e-14
constfilt,elliptic,3,matchedz_sos,n/a,n/a,4.996004e-15
constfilt,elliptic,4,matchedz_sos,n/a,n/a,4.440892e-15
constfilt,elliptic,5,matchedz_sos,n/a,n/a,4.463097e-14
constfilt,elliptic,6,matchedz_sos,n/a,n/a,1.587619e-13
constfilt,elliptic,7,matchedz_sos,n/a,n/a,1.147304e-12
constfilt,elliptic,8,matchedz_sos,n/a,n/a,7.315815e-12
constfilt,elliptic,9,matchedz_sos,n/a,n/a,1.462691e-10
constfilt,elliptic,10,matchedz_sos,n/a,n/a,2.514316e-09
constfilt,elliptic,11,matchedz_sos,n/a,n/a,4.907942e-08
constfilt,elliptic,12,matchedz_sos,n/a,n/a,7.293007e-07
constfilt,elliptic,13,matchedz_sos,n/a,n/a,4.086921e-06
constfilt,elliptic,14,matchedz_sos,n/a,n/a,1.868158e-04
constfilt,elliptic,15,matchedz_sos,n/a,n/a,2.557198e-03
constfilt,elliptic,16,matchedz_sos,n/a,n/a,1.305346e-02
constfilt,elliptic,17,matchedz_sos,n/a,n/a,3.297640e-01
constfilt,elliptic,18,matchedz_sos,n/a,n/a,4.269443e+00
constfilt,elliptic,19,matchedz_sos,n/a,n/a,3.196472e+01
constfilt,elliptic,20,matchedz_sos,n/a,n/a,3.324084e+03
constfilt,elliptic,21,matchedz_sos,n/a,n/a,4.796116e+04
constfilt,elliptic,22,matchedz_sos,n/a,n/a,1.718120e+08
constfilt,elliptic,23,matchedz_sos,n/a,n/a,9.534677e+08
constfilt,elliptic,24,matchedz_sos,n/a,n/a,2.628897e+11
constfilt,elliptic,25,matchedz_sos,n/a,n/a,6.455196e+13
constfilt,elliptic,2,prewarp_sos,n/a,n/a,3.885781e-15
constfilt,elliptic,3,prewarp_sos,n/a,n/a,3.330669e-15
constfilt,elliptic,4,prewarp_sos,n/a,n/a,3.230749e-14
constfilt,elliptic,5,prewarp_sos,n/a,n/a,1.978417e-13
constfilt,elliptic,6,prewarp_sos,n/a,n/a,5.632161e-13
constfilt,elliptic,7,prewarp_sos,n/a,n/a,6.854961e-12
constfilt,elliptic,8,prewarp_sos,n/a,n/a,1.279898e-11
constfilt,elliptic,9,prewarp_sos,n/a,n/a,2.054406e-10
constfilt,elliptic,10,prewarp_sos,n/a,n/a,2.271827e-09
constfilt,elliptic,11,prewarp_sos,n/a,n/a,6.629496e-08
constfilt,elliptic,12,prewarp_sos,n/a,n/a,2.992609e-06
constfilt,elliptic,13,prewarp_sos,n/a,n/a,2.729453e-05
constfilt,elliptic,14,prewarp_sos,n/a,n/a,1.909756e-04
constfilt,elliptic,15,prewarp_sos,n/a,n/a,3.560950e-03
constfilt,elliptic,16,prewarp_sos,n/a,n/a,3.662833e-02
constfilt,elliptic,17,prewarp_sos,n/a,n/a,1.150939e-01
constfilt,elliptic,18,prewarp_sos,n/a,n/a,2.857565e-01
constfilt,elliptic,19,prewarp_sos,n/a,n/a,3.590032e+02
constfilt,elliptic,20,prewarp_sos,n/a,n/a,5.226518e+03
constfilt,elliptic,21,prewarp_sos,n/a,n/a,4.017826e+05
constfilt,elliptic,22,prewarp_sos,n/a,n/a,1.466790e+07
constfilt,elliptic,23,prewarp_sos,n/a,n/a,3.829185e+09
constfilt,elliptic,24,prewarp_sos,n/a,n/a,1.192216e+11
constfilt,elliptic,25,prewarp_sos,n/a,n/a,2.735026e+15
constfilt,elliptic,2,zoh_vs_sos_ref,1.637579e-15,2.886580e-15,3.330669e-15
constfilt,elliptic,3,zoh_vs_sos_ref,2.914335e-16,1.776357e-15,1.065814e-14
constfilt,elliptic,4,zoh_vs_sos_ref,1.339207e-15,2.220446e-15,2.620126e-14
constfilt,elliptic,5,zoh_vs_sos_ref,3.580469e-15,7.105427e-15,1.931788e-13
constfilt,elliptic,6,zoh_vs_sos_ref,5.324907e-14,7.105427e-15,3.724798e-13
constfilt,elliptic,7,zoh_vs_sos_ref,4.118927e-13,1.456613e-13,7.307044e-12
constfilt,elliptic,8,zoh_vs_sos_ref,8.463119e-12,4.440892e-12,6.897583e-11
constfilt,elliptic,9,zoh_vs_sos_ref,2.714584e-11,4.853007e-12,1.765522e-09
constfilt,elliptic,10,zoh_vs_sos_ref,4.340908e-09,9.057430e-10,1.214087e-07
constfilt,elliptic,11,zoh_vs_sos_ref,2.038082e-09,1.991654e-08,5.612217e-07
constfilt,elliptic,12,zoh_vs_sos_ref,3.234601e-07,1.278362e-06,2.306425e-03
constfilt,elliptic,13,zoh_vs_sos_ref,1.285385e-05,1.113498e-05,1.011632e-02
constfilt,elliptic,14,zoh_vs_sos_ref,1.380205e-01,3.379845e-02,3.457638e+02
constfilt,elliptic,15,zoh_vs_sos_ref,3.704326e-01,4.242999e-01,7.157422e+06
constfilt,elliptic,16,zoh_vs_sos_ref,5.426471e+02,2.362651e+03,8.977213e+20
constfilt,elliptic,17,zoh_vs_sos_ref,6.613081e+02,7.678504e+03,6.454534e+60
constfilt,elliptic,18,zoh_vs_sos_ref,1.499687e+04,6.422962e+03,3.811486e+82
constfilt,elliptic,19,zoh_vs_sos_ref,1.389593e+04,4.033156e+04,2.603687e+103
constfilt,elliptic,20,zoh_vs_sos_ref,1.188835e+04,4.819426e+04,2.187216e+32
constfilt,elliptic,21,zoh_vs_sos_ref,3.984715e+03,9.566242e+04,1.573972e+40
constfilt,elliptic,22,zoh_vs_sos_ref,1.263675e+05,1.767974e+05,3.716205e+57
constfilt,elliptic,23,zoh_vs_sos_ref,2.185632e+05,3.311239e+05,2.191663e+126
constfilt,elliptic,24,zoh_vs_sos_ref,5.520564e+05,6.240750e+05,6.813895e+67
constfilt,elliptic,25,zoh_vs_sos_ref,3.056802e+04,1.164686e+06,1.793896e+81
constfilt,elliptic,2,matchedz_vs_sos_ref,7.094325e-14,2.220446e-15,3.674838e-14
constfilt,elliptic,3,matchedz_vs_sos_ref,8.326673e-17,1.332268e-15,5.329071e-15
constfilt,elliptic,4,matchedz_vs_sos_ref,2.081668e-17,1.776357e-15,1.110223e-14
constfilt,elliptic,5,matchedz_vs_sos_ref,5.273559e-16,2.664535e-15,8.282264e-14
constfilt,elliptic,6,matchedz_vs_sos_ref,1.387779e-16,1.065814e-14,4.640732e-13
constfilt,elliptic,7,matchedz_vs_sos_ref,3.053113e-16,1.421085e-14,4.170220e-12
constfilt,elliptic,8,matchedz_vs_sos_ref,9.714451e-17,7.105427e-15,3.682454e-11
